"model_ewsnet.no_trans_prob","model_ewsnet.smooth_trans_prob","model_ewsnet.critical_trans_prob"
0.787015199661255,0.179298356175423,0.0336864665150642
0.668267071247101,0.282208144664764,0.0495247691869736
0.605993509292603,0.308188885450363,0.0858175754547119
0.583417534828186,0.280281692743301,0.13630074262619
0.587165415287018,0.281154155731201,0.131680369377136
0.620278120040894,0.217831835150719,0.161890149116516
0.61753898859024,0.183233752846718,0.199227273464203
0.618948757648468,0.172563165426254,0.2084881067276
0.639652073383331,0.145040720701218,0.215307161211967
0.593846440315247,0.127631276845932,0.278522312641144
0.577480554580688,0.116911649703979,0.305607825517654
0.558161020278931,0.106004379689693,0.335834592580795
0.541772663593292,0.0999123975634575,0.35831481218338
0.513848662376404,0.0861663371324539,0.399984925985336
0.483765423297882,0.0861073806881905,0.430127263069153
0.463943898677826,0.081486813724041,0.454569309949875
0.434228122234344,0.0667934641242027,0.498978435993195
0.402965694665909,0.0631205290555954,0.533913850784302
0.368214040994644,0.0644719302654266,0.567314088344574
0.339994668960571,0.0627294182777405,0.597275972366333
0.309625178575516,0.062826581299305,0.627548277378082
0.291765183210373,0.0517441779375076,0.656490623950958
0.260158240795135,0.039378821849823,0.700462937355042
0.241785734891891,0.0550713911652565,0.703142881393433
0.211752966046333,0.0502653792500496,0.737981557846069
0.201937153935432,0.0283341407775879,0.769728779792786
0.194809481501579,0.030135391280055,0.775055170059204
0.157868325710297,0.0443245805799961,0.797807157039642
0.13591505587101,0.0575486645102501,0.806536257266998
0.124336071312428,0.0432881824672222,0.832375764846802
0.120874129235744,0.0288226846605539,0.850303292274475
0.0959054827690125,0.040636982768774,0.863457560539246
0.0975802689790726,0.0380724929273129,0.864347219467163
0.0798252671957016,0.0354454815387726,0.884729206562042
0.0680128410458565,0.0387341007590294,0.893253087997437
0.0717008411884308,0.0411458387970924,0.887153327465057
0.233238339424133,0.0553611554205418,0.71140044927597
0.231951966881752,0.0902236253023148,0.677824378013611
0.283753752708435,0.139739096164703,0.576507091522217
0.32335638999939,0.155967265367508,0.520676374435425
0.37627300620079,0.158883959054947,0.464843034744263
0.411547005176544,0.186415880918503,0.402037113904953
0.455794841051102,0.209517180919647,0.334688037633896
0.481478005647659,0.216993287205696,0.301528751850128
0.511350274085999,0.255624651908875,0.233025148510933
0.533553183078766,0.240153133869171,0.226293697953224
0.49110472202301,0.201240822672844,0.307654410600662
0.465926349163055,0.210253328084946,0.323820292949677
0.448730885982513,0.173478081822395,0.377791047096252
0.416667699813843,0.145977228879929,0.437355071306229
0.388166815042496,0.127279087901115,0.484554201364517
0.393842607736588,0.109828650951385,0.49632865190506
0.330807685852051,0.111607208848,0.557585120201111
0.304471582174301,0.0900722146034241,0.605456173419952
0.280713647603989,0.0787047818303108,0.640581488609314
0.239453837275505,0.07974673807621,0.68079948425293
0.224710464477539,0.0581951513886452,0.717094361782074
0.219914630055428,0.0571400299668312,0.722945332527161
0.187009319663048,0.0565335974097252,0.756457090377808
0.158023774623871,0.045339822769165,0.796636402606964
0.136197075247765,0.0570189394056797,0.806783974170685
0.109425708651543,0.0540206581354141,0.836553633213043
0.0938409045338631,0.0399955548346043,0.866163492202759
0.0969148799777031,0.029776893556118,0.87330836057663
0.0793087035417557,0.040009681135416,0.880681693553925
0.0567557848989964,0.0308713391423225,0.912372887134552
0.067228689789772,0.0298436693847179,0.90292763710022
0.0635693296790123,0.027077954262495,0.909352898597717
0.0487917773425579,0.0391013063490391,0.912106931209564
0.0336052998900414,0.0382279045879841,0.928166627883911
0.0238278191536665,0.0277637671679258,0.948408424854279
0.0519965998828411,0.0256289262324572,0.922374427318573
0.822386860847473,0.0838615819811821,0.0937514975667
0.815429985523224,0.126291811466217,0.0582782402634621
0.816958487033844,0.123299099504948,0.0597424395382404
0.789367496967316,0.1618612408638,0.0487712435424328
0.794297814369202,0.172530099749565,0.0331719517707825
0.762910604476929,0.191718757152557,0.0453706979751587
0.72929173707962,0.214099422097206,0.0566088110208511
0.710638284683228,0.231321766972542,0.058039952069521
0.717448949813843,0.240531489253044,0.0420196205377579
0.707971930503845,0.211518242955208,0.0805098712444305
0.707256555557251,0.20439201593399,0.0883514508605003
0.693853676319122,0.198547452688217,0.107598751783371
0.708361744880676,0.177727028727531,0.113911151885986
0.671833097934723,0.185485035181046,0.14268185198307
0.640424251556396,0.184665396809578,0.174910247325897
0.641167283058167,0.154172465205193,0.204660281538963
0.605716466903687,0.157646119594574,0.236637517809868
0.570604681968689,0.163327097892761,0.266068279743195
0.553287029266357,0.140659108757973,0.306053847074509
0.518557727336884,0.148782029747963,0.332660287618637
0.474922597408295,0.143570885062218,0.381506562232971
0.443268209695816,0.159640520811081,0.397091269493103
