"model_ewsnet.no_trans_prob","model_ewsnet.smooth_trans_prob","model_ewsnet.critical_trans_prob"
0.227274775505066,0.771511435508728,0.00121381098870188
0.105812169611454,0.861588358879089,0.0325994603335857
0.12384245544672,0.846961975097656,0.0291956439614296
0.156720861792564,0.836872458457947,0.00640672259032726
0.144608646631241,0.840897977352142,0.0144934598356485
0.131471052765846,0.859835207462311,0.00869384221732616
0.116856098175049,0.86992609500885,0.0132178459316492
0.111947648227215,0.87810754776001,0.0099448449909687
0.125265508890152,0.87285977602005,0.00187461939640343
0.103236064314842,0.887909948825836,0.00885387789458036
0.0844154432415962,0.91332471370697,0.00225975760258734
0.0844696164131165,0.887770593166351,0.0277597662061453
0.0887396261096001,0.904564499855042,0.00669586518779397
0.0774927735328674,0.897637844085693,0.0248692352324724
0.0744616389274597,0.913885295391083,0.0116530898958445
0.076733410358429,0.920544862747192,0.0027216961607337
0.0758632645010948,0.901489198207855,0.0226474739611149
0.0730787217617035,0.900168538093567,0.0267527420073748
0.0699871033430099,0.90607225894928,0.0239407178014517
0.0908823981881142,0.897082448005676,0.0120351323857903
0.0660763829946518,0.912289440631866,0.0216341894119978
0.0699211433529854,0.925624310970306,0.00445457175374031
0.0613950192928314,0.926340699195862,0.0122642647475004
0.0673605650663376,0.92559140920639,0.00704783201217651
0.0577398724853992,0.915838539600372,0.0264215879142284
0.0614925287663937,0.918115794658661,0.0203917045146227
0.0551409833133221,0.932863593101501,0.0119953192770481
0.0507801808416843,0.927768409252167,0.0214514248073101
0.0524170622229576,0.919085443019867,0.0284973904490471
0.0605087764561176,0.922330856323242,0.0171603448688984
0.0698519572615623,0.923715949058533,0.00643201405182481
0.0639663264155388,0.918784201145172,0.0172494407743216
0.0649245083332062,0.923351585865021,0.0117238899692893
0.0701372772455215,0.923921346664429,0.00594128808006644
0.0417460538446903,0.941840887069702,0.0164131205528975
0.0509842857718468,0.923738181591034,0.0252776686102152
0.173210322856903,0.804080665111542,0.0227089934051037
0.251693218946457,0.737042188644409,0.0112646380439401
0.298959165811539,0.691317737102509,0.00972307007759809
0.305194616317749,0.680620193481445,0.0141851892694831
0.297895461320877,0.679512619972229,0.022591844201088
0.282610356807709,0.693714141845703,0.023675499483943
0.270566076040268,0.721103668212891,0.0083302203565836
0.270165622234344,0.70895117521286,0.0208831578493118
0.260746568441391,0.721661925315857,0.0175915658473969
0.239726155996323,0.742499530315399,0.0177741628140211
0.221267953515053,0.753029048442841,0.0257030706852674
0.211036115884781,0.780024886131287,0.0089390454813838
0.198573634028435,0.779960632324219,0.0214657355099916
0.188828036189079,0.797527074813843,0.0136449718847871
0.172835916280746,0.810993731021881,0.0161703806370497
0.17077773809433,0.812542498111725,0.0166797414422035
0.166467249393463,0.822878360748291,0.010654354467988
0.156262680888176,0.834107220172882,0.00963005423545837
0.151665836572647,0.811956882476807,0.036377314478159
0.151818186044693,0.826021373271942,0.0221604388207197
0.1383096575737,0.842809736728668,0.0188805963844061
0.131045907735825,0.855922222137451,0.0130318365991116
0.132775172591209,0.849946677684784,0.0172782316803932
0.127023473381996,0.852386713027954,0.0205897837877274
0.117234535515308,0.850818991661072,0.0319464504718781
0.110068790614605,0.858408987522125,0.0315222032368183
0.105843886733055,0.855532228946686,0.0386239066720009
0.12647058069706,0.864952325820923,0.00857703480869532
0.0991509035229683,0.865999162197113,0.0348499715328217
0.0982759296894073,0.886152803897858,0.0155712692067027
0.114011138677597,0.87396639585495,0.0120224747806787
0.0901567190885544,0.901283621788025,0.00855971779674292
0.0796535909175873,0.88738089799881,0.0329655297100544
0.0771453753113747,0.907202959060669,0.0156516190618277
0.0801006779074669,0.897466480731964,0.0224325992166996
0.070026308298111,0.903836965560913,0.0261366628110409
0.444872349500656,0.550790250301361,0.0043373997323215
0.438126981258392,0.554852068424225,0.00702095404267311
0.423446893692017,0.565469205379486,0.0110839512199163
0.405380666255951,0.578565835952759,0.0160534903407097
0.403720736503601,0.576417326927185,0.0198619123548269
0.391872555017471,0.581484138965607,0.026643292978406
0.380725353956223,0.597734034061432,0.0215406585484743
0.356175243854523,0.615756273269653,0.0280684977769852
0.361494600772858,0.623489379882812,0.0150159504264593
0.337435960769653,0.655620813369751,0.00694327894598246
0.33443009853363,0.651135623455048,0.014434383250773
0.342910587787628,0.646165549755096,0.0109238876029849
0.318893164396286,0.664402782917023,0.0167040675878525
0.32439786195755,0.664243936538696,0.0113581940531731
0.301645576953888,0.677564263343811,0.0207902118563652
0.307268500328064,0.677013993263245,0.0157174579799175
0.292264759540558,0.693939566612244,0.0137956598773599
0.285289466381073,0.705868124961853,0.00884240120649338
0.285367101430893,0.696248292922974,0.0183846093714237
0.294315934181213,0.700103044509888,0.0055809747427702
0.282265573740005,0.711257696151733,0.00647673429921269
0.25258931517601,0.72157484292984,0.0258358288556337
0.254017531871796,0.736194789409637,0.00978776160627604
0.246738210320473,0.746816575527191,0.00644529983401299
0.243564873933792,0.746561765670776,0.00987346563488245
0.23134271800518,0.757830142974854,0.0108270728960633
0.233310624957085,0.759530782699585,0.00715856859460473
0.209434300661087,0.759140253067017,0.0314255133271217
0.213861957192421,0.773905694484711,0.0122323390096426
0.189988076686859,0.787444293498993,0.0225675702095032
0.188222497701645,0.790254354476929,0.0215231347829103
0.176857754588127,0.797801196575165,0.025341035798192
0.184382230043411,0.800510942935944,0.0151068726554513
0.174809232354164,0.809178411960602,0.0160124525427818
0.163392826914787,0.817650020122528,0.0189571343362331
0.147844523191452,0.830544888973236,0.021610526368022
