"model_ewsnet.no_trans_prob","model_ewsnet.smooth_trans_prob","model_ewsnet.critical_trans_prob"
0.790745854377747,0.131632089614868,0.0776218920946121
0.669297635555267,0.0930472910404205,0.237655103206635
0.574813663959503,0.068952664732933,0.356233566999435
0.506856560707092,0.0651648566126823,0.427978515625
0.475525200366974,0.054234117269516,0.470240622758865
0.408727258443832,0.0715299993753433,0.519742727279663
0.380163490772247,0.0828571394085884,0.5369793176651
0.370578587055206,0.0852691680192947,0.54415225982666
0.385715126991272,0.0591333284974098,0.555151462554932
0.358985096216202,0.070732906460762,0.570282101631165
0.384801685810089,0.059470109641552,0.555728197097778
0.37493035197258,0.0616499222815037,0.563419759273529
0.386092722415924,0.0592402070760727,0.554666996002197
0.371511816978455,0.065412312746048,0.56307590007782
0.391099810600281,0.0699572786688805,0.538942873477936
0.384030252695084,0.098115548491478,0.5178542137146
0.405726462602615,0.0836479365825653,0.510625600814819
0.401248276233673,0.097282737493515,0.50146895647049
0.410416841506958,0.0911199748516083,0.498463243246078
0.433509856462479,0.0829139724373817,0.483576208353043
0.439608037471771,0.0813564881682396,0.479035526514053
0.431753247976303,0.104072533547878,0.46417424082756
0.442821681499481,0.0840296670794487,0.47314864397049
0.44796496629715,0.0896842926740646,0.462350726127625
0.46911883354187,0.0862012356519699,0.444679945707321
0.455975651741028,0.104309111833572,0.439715266227722
0.454889416694641,0.105154678225517,0.43995589017868
0.472322225570679,0.0883059576153755,0.439371824264526
0.469317078590393,0.0934697166085243,0.437213182449341
0.469803988933563,0.110217183828354,0.419978857040405
0.485719561576843,0.0936236679553986,0.420656770467758
0.471559107303619,0.0867396369576454,0.441701352596283
0.478390991687775,0.0977195054292679,0.423889577388763
0.497409969568253,0.0975650101900101,0.405025064945221
0.499653726816177,0.0976649820804596,0.40268138051033
0.501407206058502,0.083863265812397,0.414729505777359
0.574752449989319,0.231714159250259,0.193533346056938
0.494838982820511,0.148786008358002,0.356374979019165
0.396403700113297,0.123405545949936,0.480190813541412
0.325050354003906,0.151353716850281,0.523595988750458
0.306676626205444,0.116242721676826,0.577080607414246
0.277277708053589,0.141485705971718,0.58123654127121
0.286182940006256,0.118077985942364,0.595739185810089
0.277540683746338,0.125527292490005,0.596932053565979
0.258751302957535,0.144106298685074,0.597142398357391
0.25978896021843,0.128846898674965,0.611364126205444
0.266879379749298,0.141769245266914,0.591351330280304
0.301650434732437,0.138193592429161,0.560155987739563
0.293963521718979,0.147996962070465,0.558039426803589
0.285943388938904,0.160934045910835,0.553122580051422
0.303449749946594,0.161722585558891,0.534827589988708
0.299944579601288,0.178862527012825,0.521192908287048
0.319573611021042,0.156955733895302,0.523470640182495
0.329698264598846,0.17423477768898,0.496067017316818
0.348792493343353,0.170970186591148,0.480237364768982
0.354641675949097,0.167232662439346,0.478125602006912
0.373631924390793,0.176903128623962,0.449464917182922
0.36584797501564,0.19745808839798,0.436693966388702
0.37779289484024,0.183778420090675,0.438428729772568
0.399421960115433,0.183360055088997,0.417217940092087
0.384280025959015,0.198976129293442,0.416743874549866
0.386680752038956,0.204234167933464,0.409085094928741
0.398236185312271,0.178032010793686,0.423731774091721
0.401390314102173,0.182097494602203,0.416512191295624
0.419050753116608,0.176739946007729,0.404209315776825
0.427200973033905,0.186279341578484,0.386519700288773
0.407623648643494,0.194480746984482,0.397895663976669
0.42416188120842,0.184949219226837,0.390888929367065
0.406812965869904,0.210483402013779,0.382703602313995
0.409787684679031,0.215670600533485,0.374541729688644
0.415532827377319,0.192506790161133,0.391960382461548
0.424588710069656,0.19631439447403,0.379096895456314
0.668972373008728,0.159284472465515,0.171743109822273
0.733838438987732,0.109486162662506,0.15667536854744
0.739968240261078,0.127694517374039,0.132337316870689
0.729797840118408,0.120778806507587,0.14942330121994
0.72176069021225,0.139812186360359,0.138427034020424
0.749993920326233,0.106097802519798,0.143908306956291
0.735033512115479,0.117804124951363,0.147162362933159
0.739905178546906,0.11935955286026,0.14073534309864
0.729712963104248,0.111036777496338,0.159250140190125
0.760570228099823,0.10966794937849,0.129761785268784
0.750635087490082,0.119663946330547,0.129700914025307
