"timeindex" "Y" "nsmY" "x" "y"
122 -1.17014637566335 -0.171712388334436 122 -0.998433987328913
123 -1.27641806667863 -0.279705607546259 123 -0.996712459132371
124 -1.10559749411122 -0.110612246053404 124 -0.994985248057816
125 -1.0976674368408 -0.104415488606263 125 -0.993251948234537
126 -0.951439575915223 0.0400725840066389 126 -0.991512159921862
127 -1.26822543855888 -0.278459244896007 127 -0.989766193662873
128 -1.1671406579562 -0.179127010655336 128 -0.988013647300864
129 -1.21526851768178 -0.229013583191529 129 -0.98625493449025
130 -1.10516882672445 -0.120678601443558 130 -0.984490225280892
131 -1.1563488263601 -0.173629680997701 131 -0.982719145362399
132 -1.04370628199349 -0.0627644082505755 132 -0.980941873742914
133 -1.16119584644592 -0.182037764853157 133 -0.979158081592763
134 -1.00100071192505 -0.0236322670969699 134 -0.97736844482808
135 -0.993511916560289 -0.0179393714830287 135 -0.97557254507726
136 -1.14584411951784 -0.172073880911241 136 -0.973770238606599
137 -1.12647513289377 -0.15451399037835 137 -0.97196114251542
138 -1.05224775935266 -0.0821012182683524 138 -0.970146541084308
139 -0.996393386481071 -0.0280684103018137 139 -0.968324976179257
140 -1.23870934630219 -0.272212006103561 140 -0.966497340198629
141 -1.07574248047925 -0.111078930499292 141 -0.964663549979958
142 -1.17161891626198 -0.208795777518084 142 -0.962823138743896
143 -1.06084533087579 -0.0998688039656174 143 -0.960976526910173
144 -1.22263861551519 -0.263514864803695 144 -0.959123750711495
145 -1.15123656877021 -0.193971974344765 145 -0.957264594425445
146 -1.18456219022846 -0.229163319403201 146 -0.955398870825259
147 -1.16270893302586 -0.209181838922531 147 -0.953527094103329
148 -1.08882478840566 -0.137176021174319 148 -0.951648767231341
149 -1.19436120647931 -0.244596855241362 149 -0.949764351237948
150 -1.06922422612815 -0.121350941136587 150 -0.947873284991563
151 -1.15024464230987 -0.204268942119969 151 -0.945975700189901
152 -1.03304980979348 -0.0889780968709216 152 -0.944071712922558
153 -1.11447894186377 -0.172317481963166 153 -0.942161459900604
154 -1.11503244105804 -0.174787613956124 154 -0.940244827101916
155 -1.07696007526551 -0.138638537953849 155 -0.938321537311661
156 -1.10722506074658 -0.170833209214872 156 -0.936391851531708
157 -0.969107144047892 -0.0346513862582317 157 -0.93445575778966
158 -0.914787548066705 0.0177257060617273 158 -0.932513254128432
159 -1.05129201451566 -0.120727820912844 159 -0.930564193602816
160 -1.02698786157615 -0.0983791043930913 160 -0.928608757183059
161 -1.07101073926406 -0.14436381429955 161 -0.92664692496451
162 -1.02624247493076 -0.101564080498072 162 -0.924678394432688
163 -1.00893217203803 -0.0862287825246265 163 -0.922703389513403
164 -1.18116627633391 -0.260443983662977 164 -0.920722292670933
165 -1.04623556408072 -0.127500789200331 165 -0.918734774880389
166 -0.915275609254002 0.00146485415226771 166 -0.91674046340627
167 -0.873785520232301 0.0409540245563081 167 -0.914739544788609
168 -1.01283401598447 -0.10010146041909 168 -0.91273255556538
169 -1.1125957396219 -0.201877062561845 169 -0.910718677060055
170 -0.917181509715411 -0.00848306317657621 170 -0.908698446538835
171 -1.07268975654805 -0.166018052481824 171 -0.906671704066226
172 -0.919745668504779 -0.0151069606549962 172 -0.904638707849783
173 -1.07577101596282 -0.173171904489722 173 -0.902599111473098
174 -1.13169933076015 -0.231146643059182 174 -0.900552687700968
175 -1.08978750744305 -0.191287714209065 175 -0.898499793233985
176 -0.825092615811667 0.0713476849321013 176 -0.896440300743768
177 -1.11707260508822 -0.22269773168276 177 -0.89437487340546
178 -0.977173578626597 -0.0848711454359503 178 -0.892302433190647
179 -1.04655888046101 -0.156335175784866 179 -0.890223704676144
180 -0.971452192675435 -0.0833138466267418 180 -0.888138346048693
181 -1.05942059746789 -0.173373941292609 181 -0.886046656175281
182 -0.933035758037756 -0.0490872603134835 182 -0.883948497724272
183 -0.955220223660411 -0.0733764467274193 183 -0.881843776932992
184 -0.974677948386894 -0.0949452977333995 184 -0.879732650653494
185 -1.0496341346269 -0.172019151387884 185 -0.877614983239016
186 -1.07376547273169 -0.198274420430775 186 -0.875491052300915
187 -0.981236412749617 -0.107876100185216 187 -0.873360312564401
188 -0.973356276409444 -0.102133142815509 188 -0.871223133593935
