"time","FI"
455,7.35254672036846
460,6.71805003016734
465,6.36002126539098
470,8
475,7.35254672036846
480,8
485,7.62536658017297
490,7.62536658017297
495,7.47077215144466
500,7.25321281471313
505,7.62536658017297
510,5.49797811503161
515,6.7712418314088
520,6.82710645590098
525,7.25321281471313
530,7.25321281471313
535,7.47077215144466
540,8
545,8
550,6.8860459561173
555,8
560,7.35254672036846
565,6.32145456037097
570,6.8860459561173
575,6.39971020617385
580,7.25321281471313
585,8
590,7.16599270501054
595,7.35254672036846
600,6.39971020617385
605,6.82710645590098
610,4.93975004039871
615,6.4406070682274
620,6.39971020617385
625,6.7712418314088
630,6.07747700285375
635,5.4547362912777
640,7.25321281471313
645,5.52006871635571
650,7.25321281471313
655,7.01538461538462
660,8
665,6.82710645590098
670,5.1305623788268
675,6.01466553131671
680,5.43356924119242
685,6.39971020617385
690,6.94857730899509
695,4.73591521452384
700,6.10991055467229
705,6.82710645590098
710,7.25321281471313
715,4.7868883519262
720,5.61176655697475
725,4.74844096546691
730,4.72353169774464
735,5.81340881352151
740,5.43356924119242
745,4.7868883519262
750,5.37179612257691
755,4.91049354836077
760,4.68721869337727
765,4.44695925455057
770,5.23692992976694
775,4.77392581561443
780,5.08025969165404
785,4.43792196159368
790,4.44695925455057
795,4.51335738426441
800,4.18012114595157
805,5.58832289663153
810,5.92512572708611
815,4.3357597865567
820,4.28934505152705
825,3.87734157328668
830,4.70812687238246
835,4.87690400172119
840,3.88829405006421
845,3.30050989622339
850,3.64724164772126
855,4.13009306242099
860,5.00035505059595
865,4.89611810143545
870,4.13574468734651
875,3.58600826115025
880,3.41952147720582
885,3.97856268477525
890,4.32396459021795
895,4.06042013176567
900,4.49716936104426
905,4.29756623792928
910,3.10384983373981
