"time","smap_J"
475,0.952764776622147
476,0.952397787433904
477,0.951780807513109
478,0.951490989547528
479,0.952257197961719
480,0.95025626095465
481,0.946411371888216
482,0.948867239810901
483,0.946411638589618
484,0.944192830034768
485,0.94520853908891
486,0.94666887871767
487,0.946831771118063
488,0.944133400719353
489,0.944161438946607
490,0.94364694675072
491,0.940732755819719
492,0.941001221470953
493,0.940575347866863
494,0.938965612474715
495,0.938716912575757
496,0.936772982622111
497,0.937122869810775
498,0.93644294146574
499,0.934801635195569
500,0.931203689859173
501,0.933751361921121
502,0.93275304414991
503,0.933969744958039
504,0.931902844186009
505,0.932385057119194
506,0.930338312903275
507,0.928757156500137
508,0.927588445989394
509,0.930264811417377
510,0.928221946303314
511,0.929442404440608
512,0.931087554959115
513,0.945844853848301
514,0.935160641870888
515,0.931775791227244
516,0.934110415681128
517,0.931567962380525
518,0.928352234012503
519,0.92814912562912
520,0.928183706172854
521,0.927071775175189
522,0.940639266343303
523,0.92655229828727
524,0.924257860249284
525,0.923969112091091
526,0.927793995169403
527,0.924560156403624
528,0.926748215250939
529,0.923506163453684
530,0.923142966402129
531,0.923391242056228
532,0.925106585668951
533,0.925936450823958
534,0.925705145593487
535,0.925023755701708
536,0.927431249346687
537,0.925565468570146
538,0.925092659056896
539,0.930476401996297
540,0.926526277442189
541,0.924735609963382
542,0.926747678864388
543,0.937750211674505
544,0.936736577706845
545,0.937931185142125
546,0.935353091059749
547,0.937847684239704
548,0.936778335714341
549,0.9367799282212
550,0.935727044631214
551,0.935202628410658
552,0.93444369311016
553,0.934346341665766
554,0.933862932551511
555,0.933480643739759
556,0.933767934107553
557,0.934871718027612
558,0.933852972762993
559,0.934303809237329
560,0.933487615298971
561,0.932766961388055
562,0.931848504517792
563,0.932861240392436
564,0.930436950408833
565,0.930884135421077
566,0.930372153877159
567,0.930933774363422
568,0.932085952216717
569,0.929831613802931
570,0.928503033741393
571,0.930850241830056
572,0.931977496617502
573,0.92771628756655
574,0.928111254473164
575,0.924696687701076
576,0.92788131781525
577,0.928328397676486
578,0.9280296621881
579,0.926306311572033
580,0.922590277737394
581,0.924701064249344
582,0.924857983189659
583,0.926901188626206
584,0.925733151907351
585,0.920454857572051
586,0.918259278197897
587,0.917492539261906
588,0.916648024300267
589,0.915734188565647
590,0.915228575624435
591,0.915302447573351
592,0.916823324259331
593,0.913113046339818
594,0.912698820268009
595,0.91288546300144
596,0.912951732287312
597,0.909882738933563
598,0.911686257690433
599,0.911834554460143
600,0.913497995415949
601,0.911055276917288
602,0.910973893258784
603,0.910417721798394
604,0.912354278515775
605,0.912182166562349
606,0.911041611540355
607,0.912606044326031
608,0.913465655718214
609,0.912224293057642
610,0.913734931405146
611,0.912779094750462
612,0.91485765779519
613,0.914635012656483
614,0.914084096824711
615,0.915008872085272
616,0.914840270154688
617,0.916394411837983
618,0.915628014326273
619,0.91706359739579
620,0.91653556112352
621,0.914636841119122
622,0.914834928362693
623,0.912480612966808
624,0.91296375273804
625,0.911787343906808
626,0.914826114718169
627,0.912643872239997
628,0.911937261865838
629,0.912273510937179
630,0.911865826379181
631,0.917110314711828
632,0.918159376243609
633,0.915385959636265
634,0.91482458775121
635,0.915424244079683
636,0.916472266924563
637,0.918728502567747
638,0.91578307805993
639,0.918009228946057
640,0.918949643941069
641,0.920951030748416
642,0.918873527507942
643,0.917999986318825
644,0.920192594603587
645,0.92019046636484
646,0.922042359882412
647,0.919518950495483
648,0.918540637256241
649,0.920225062687133
650,0.925475182723633
651,0.941172218720449
652,0.94279525903356
653,0.940842152478772
654,0.938912837847224
655,0.938771601472346
656,0.919259507054386
657,0.920357988207562
658,0.919236863706285
659,0.917989355568304
660,0.917406303419098
661,0.91721620763144
662,0.917966331146035
663,0.915971294516107
664,0.915009068469409
665,0.938170595685976
666,0.937205040825762
667,0.938840762688669
668,0.934874237809376
669,0.93438053277582
670,0.913514562356134
671,0.935809201446202
672,0.935016982355814
673,0.935298308922216
674,0.934315413873936
675,0.935353923688399
676,0.935545516495318
677,0.936174134125215
678,0.936120045450918
679,0.936863981821261
680,0.938443727562769
681,0.936861971242609
682,0.935684522181331
683,0.937088218504014
684,0.938111556297796
685,0.939187771201936
686,0.938659704899828
687,0.938943977338264
688,0.937519413781487
689,0.939153395524693
690,0.948274606787967
691,0.948695327462986
692,0.948877186343361
693,0.949057046376171
694,0.948628906319529
695,0.949016867015605
696,0.947129089673794
697,0.947938100165763
698,0.948230844192238
699,0.949385664742986
700,0.946920843895631
701,0.946766252401545
702,0.946333614004116
703,0.946755825538068
704,0.948186832513633
705,0.949811961997496
706,0.947530822799928
707,0.949680062002427
