"t","value1","value2"
1,0.530044588322921,0.530044588322921
2,-0.542353309009123,-0.542353309009123
3,-0.349467144518492,-0.349467144518492
4,-0.0688772789555523,-0.0688772789555523
5,0.453208998003289,0.453208998003289
6,-0.123109031996765,-0.123109031996765
7,-0.475423289967831,-0.475423289967831
8,-0.203053328391607,-0.203053328391607
9,0.0345766765214808,0.0345766765214808
10,-0.328064669059515,-0.328064669059515
11,-0.334065781489431,-0.334065781489431
12,-0.303547240511634,-0.303547240511634
13,0.203063319432089,0.203063319432089
14,-0.0910559037007901,-0.0910559037007901
15,0.206011060553763,0.206011060553763
16,-0.078383334403149,-0.078383334403149
17,0.168119358620887,0.168119358620887
18,-0.543323281703406,-0.543323281703406
19,0.773186814560064,0.773186814560064
20,-0.213703285958168,-0.213703285958168
21,0.26467432158632,0.26467432158632
22,-0.12948151743735,-0.12948151743735
23,0.357904051032977,0.357904051032977
24,-0.118758586193618,-0.118758586193618
25,-0.46730663345622,-0.46730663345622
26,-0.188171440216637,-0.188171440216637
27,-0.0682165075245162,-0.0682165075245162
28,-0.179205857033604,-0.179205857033604
29,0.133307666734032,0.133307666734032
30,0.150378487199235,0.150378487199235
31,0.35426427999748,0.35426427999748
32,0.364058232704096,0.364058232704096
33,-0.298362930239801,-0.298362930239801
34,-0.461426380283358,-0.461426380283358
35,0.219417000899037,0.219417000899037
36,0.128282029244287,0.128282029244287
37,-0.419541826822144,-0.419541826822144
38,-0.183054993029124,-0.183054993029124
39,-0.40451614023009,-0.40451614023009
40,0.264618614966141,0.264618614966141
41,-0.505353194544916,-0.505353194544916
42,0.0196166917597203,0.0196166917597203
43,0.783518083795423,0.783518083795423
44,-0.129582156910305,-0.129582156910305
45,-0.408366271508311,-0.408366271508311
46,-0.0173858157294309,-0.0173858157294309
47,0.249214685752138,0.249214685752138
48,0.456152264293809,0.456152264293809
49,-0.104798519370976,-0.104798519370976
50,-0.329330674854983,-0.329330674854983
51,0.158575184070481,0.158575184070481
52,-0.445308560699842,-0.445308560699842
53,-0.614467998849248,-0.614467998849248
54,-0.139785896875044,-0.139785896875044
55,-0.318092943532946,-0.318092943532946
56,-0.551357514811474,-0.551357514811474
57,-0.634585239540362,-0.634585239540362
58,0.0984176868733015,0.0984176868733015
59,0.33393231988842,0.33393231988842
