"t","value1","value2"
1,0.107177821666482,0.107177821666482
2,-0.0141805725569171,-0.0141805725569171
3,-0.0572564630225063,-0.0572564630225063
4,0.0187575217462348,0.0187575217462348
5,0.0303631976762859,0.0303631976762859
6,-0.0113404283940133,-0.0113404283940133
7,-0.211910893009943,-0.211910893009943
8,0.000232386136745921,0.000232386136745921
9,-0.0398891678925259,-0.0398891678925259
10,-0.103713181020449,-0.103713181020449
11,-0.00859534173938381,-0.00859534173938381
12,-0.0457494112285297,-0.0457494112285297
13,0.00471615308303197,0.00471615308303197
14,-0.0886123886570382,-0.0886123886570382
15,-0.00781422288524092,-0.00781422288524092
16,-0.00511646612341621,-0.00511646612341621
17,-0.0701140453785243,-0.0701140453785243
18,-0.0352189821986753,-0.0352189821986753
19,-0.0603866253243597,-0.0603866253243597
20,-0.0423040195602573,-0.0423040195602573
21,-0.0299969254207491,-0.0299969254207491
22,-0.0304322193759843,-0.0304322193759843
23,-0.0556090761567838,-0.0556090761567838
24,-0.0560421995556779,-0.0560421995556779
25,0.0241435546873936,0.0241435546873936
26,-0.160625034626789,-0.160625034626789
27,-0.0201045441511782,-0.0201045441511782
28,0.0102719109074181,0.0102719109074181
29,0.120877163169179,0.120877163169179
30,0.0772708835855842,0.0772708835855842
31,0.00174177050643376,0.00174177050643376
32,-0.042129753978833,-0.042129753978833
33,-0.150728338511797,-0.150728338511797
34,-0.0227694100079965,-0.0227694100079965
35,0.116775717314717,0.116775717314717
36,-0.0442239746442668,-0.0442239746442668
37,-0.0407430369303274,-0.0407430369303274
38,0.0446394232307641,0.0446394232307641
39,0.0191277790606874,0.0191277790606874
40,0.0649914070533333,0.0649914070533333
41,0.00432955616112141,0.00432955616112141
42,0.118962544435801,0.118962544435801
43,-0.0826272289514782,-0.0826272289514782
44,-0.142779802621577,-0.142779802621577
45,-0.0403410896879235,-0.0403410896879235
46,-0.0923642851141797,-0.0923642851141797
47,-0.0197871807713259,-0.0197871807713259
48,-0.00508214762423109,-0.00508214762423109
49,-0.0804782316408064,-0.0804782316408064
50,-0.0582034313169817,-0.0582034313169817
51,-0.0751555920807176,-0.0751555920807176
52,0.0140766030187554,0.0140766030187554
53,-0.0782137998934018,-0.0782137998934018
54,0.0653668628145296,0.0653668628145296
55,-0.0251850641888696,-0.0251850641888696
56,-0.0495708589671111,-0.0495708589671111
57,0.0159029901118064,0.0159029901118064
58,0.0748579686824618,0.0748579686824618
59,0.0912710497580345,0.0912710497580345
60,0.0237797785754053,0.0237797785754053
61,0.0393466503756734,0.0393466503756734
62,0.168079015829608,0.168079015829608
63,-0.104809858758929,-0.104809858758929
64,-0.0451080201216503,-0.0451080201216503
65,0.0895644252065755,0.0895644252065755
66,-0.00407988668205239,-0.00407988668205239
67,-0.00249192879677484,-0.00249192879677484
68,0.128958988314549,0.128958988314549
69,0.00667242389634803,0.00667242389634803
70,-0.0482150274497972,-0.0482150274497972
71,0.0695842686853929,0.0695842686853929
72,-0.0213960177359325,-0.0213960177359325
73,0.135725067278367,0.135725067278367
74,-0.0229529008351588,-0.0229529008351588
75,-0.00164683189890025,-0.00164683189890025
76,0.0961825075422025,0.0961825075422025
77,-0.0269597410277713,-0.0269597410277713
78,0.0430061040151788,0.0430061040151788
