"t","value1","value2"
1,0.0883187162415182,0.0883187162415182
2,-0.0316370677405644,-0.0316370677405644
3,-0.0733457106529543,-0.0733457106529543
4,0.00399945024088244,0.00399945024088244
5,0.0168990351934375,0.0168990351934375
6,-0.0235476633912286,-0.0235476633912286
7,-0.222900310733883,-0.222900310733883
8,-0.00957913512543329,-0.00957913512543329
9,-0.0485620638718935,-0.0485620638718935
10,-0.111288951513163,-0.111288951513163
11,-0.0151134031105897,-0.0151134031105897
12,-0.0512535138618067,-0.0512535138618067
13,0.00018312382201402,0.00018312382201402
14,-0.0922177314759325,-0.0922177314759325
15,-0.0105358589823632,-0.0105358589823632
16,-0.00699626192374492,-0.00699626192374492
17,-0.0711980009101136,-0.0711980009101136
18,-0.0355525248979718,-0.0355525248979718
19,-0.0600151617646949,-0.0600151617646949
20,-0.041273454673838,-0.041273454673838
21,-0.0283525920624335,-0.0283525920624335
22,-0.0282194003458169,-0.0282194003458169
23,-0.0528741071154852,-0.0528741071154852
24,-0.0528318549873286,-0.0528318549873286
25,0.0277837354868296,0.0277837354868296
26,-0.156600937056029,-0.156600937056029
27,-0.0157421852688946,-0.0157421852688946
28,0.0149277858806229,0.0149277858806229
29,0.125782372271183,0.125782372271183
30,0.0823814620727419,0.0823814620727419
31,0.00701483855958407,0.00701483855958407
32,-0.0367376555513823,-0.0367376555513823
33,-0.145258152384725,-0.145258152384725
34,-0.0172628527372369,-0.0172628527372369
35,0.122278980394188,0.122278980394188
36,-0.0387633993032279,-0.0387633993032279
37,-0.0353602583164818,-0.0353602583164818
38,0.0499082717949995,0.0499082717949995
39,0.0242490230750569,0.0242490230750569
40,0.0699320442346807,0.0699320442346807
41,0.00905930777220698,0.00905930777220698
42,0.123451971477703,0.123451971477703
43,-0.0784042160735057,-0.0784042160735057
44,-0.138848947015199,-0.138848947015199
45,-0.036725190772664,-0.036725190772664
46,-0.0890829320680027,-0.0890829320680027
47,-0.0168586678023288,-0.0168586678023288
48,-0.00252283540947462,-0.00252283540947462
49,-0.0783020978562807,-0.0783020978562807
50,-0.0564202179700242,-0.0564202179700242
51,-0.0737750005309616,-0.0737750005309616
52,0.0150487764422345,0.0150487764422345
53,-0.0776546706886727,-0.0776546706886727
54,0.0655123348107947,0.0655123348107947
55,-0.0254528373605467,-0.0254528373605467
56,-0.0502485598197737,-0.0502485598197737
57,0.0148206086268332,0.0148206086268332
58,0.0733779703315511,0.0733779703315511
59,0.0894036493352977,0.0894036493352977
60,0.0215358110043393,0.0215358110043393
61,0.0367400047687549,0.0367400047687549
62,0.16512414338384,0.16512414338384
63,-0.108095758208096,-0.108095758208096
64,-0.0487067159578984,-0.0487067159578984
65,0.0856722299145545,0.0856722299145545
66,-0.00824473887835797,-0.00824473887835797
67,-0.00690865620673953,-0.00690865620673953
68,0.124312351993208,0.124312351993208
69,0.00181961414892062,0.00181961414892062
70,-0.0532507157423345,-0.0532507157423345
71,0.064389673880749,0.064389673880749
72,-0.0267259746255513,-0.0267259746255513
73,0.130283334486019,0.130283334486019
74,-0.0284818909277227,-0.0284818909277227
75,-0.0072407455373471,-0.0072407455373471
76,0.0905453110080816,0.0905453110080816
77,-0.0326188975424706,-0.0326188975424706
78,0.0373465140046541,0.0373465140046541
79,-0.0425872832888978,-0.0425872832888978
80,0.0511490859698671,0.0511490859698671
81,0.00397286927894269,0.00397286927894269
82,-0.00889659232583928,-0.00889659232583928
83,-0.024962705362829,-0.024962705362829
84,0.0104607069763012,0.0104607069763012
85,0.0209641823467006,0.0209641823467006
86,0.0604454533559085,0.0604454533559085
87,0.102426991052179,0.102426991052179
88,-0.0619247482247109,-0.0619247482247109
89,-0.101606495316543,-0.101606495316543
90,-0.170502230448823,-0.170502230448823
91,-0.0347874924531719,-0.0347874924531719
92,0.0229900262592848,0.0229900262592848
93,0.0115601823212537,0.0115601823212537
94,-0.00683909069720001,-0.00683909069720001
95,0.0134706314272979,0.0134706314272979
96,-0.0667890529379145,-0.0667890529379145
97,-0.0074663060492155,-0.0074663060492155
98,0.0538771865992584,0.0538771865992584
99,-0.0297214388040679,-0.0297214388040679
100,0.0540574732741899,0.0540574732741899
101,-0.163545266173847,-0.163545266173847
102,0.0453061862939506,0.0453061862939506
103,0.0688233331638506,0.0688233331638506
104,0.0809350793158974,0.0809350793158974
105,0.09736187184645,0.09736187184645
